epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,284.196,0.52707,0.4414,1.03876,0.76783,0.99274,0.92662,0.65643,1.17004,0.91955,2.40548,0.001358,0.001358,0.001358
109,286.865,0.5361,0.42806,1.0652,0.83206,0.99159,0.92833,0.52821,1.1812,1.12924,2.29278,0.001352,0.001352,0.001352
110,290.179,0.49058,0.41684,1.02958,0.63776,0.88143,0.87549,0.65092,0.96646,1.29801,1.85044,0.001346,0.001346,0.001346
111,292.839,0.55178,0.44755,1.08832,1,0.88224,0.97833,0.64856,1.08045,1.17427,2.10263,0.00134,0.00134,0.00134
112,295.311,0.52753,0.41137,1.06693,0.824,1,0.93833,0.64741,1.21945,0.90635,2.37869,0.001334,0.001334,0.001334
113,297.812,0.49612,0.4139,1.06046,0.94592,0.9,0.97833,0.62728,1.03553,0.92205,2.1606,0.001328,0.001328,0.001328
114,300.418,0.53337,0.42201,1.06283,0.82127,1,0.96833,0.63068,0.98521,0.89316,2.05838,0.001322,0.001322,0.001322
115,303.8,0.47656,0.39457,1.03798,1,0.99178,0.995,0.67205,0.98289,0.63055,2.0285,0.001316,0.001316,0.001316
116,306.752,0.50881,0.42678,1.03843,0.99188,1,0.995,0.69539,0.86812,0.64225,1.73741,0.00131,0.00131,0.00131
117,309.414,0.51564,0.44455,1.06078,0.98587,1,0.995,0.79224,0.80334,0.5825,1.55761,0.001304,0.001304,0.001304
118,311.838,0.48913,0.38682,1.0326,0.8681,0.9,0.95192,0.73686,0.89809,0.69918,1.75438,0.001298,0.001298,0.001298
119,314.46,0.49931,0.4282,1.05747,1,0.78746,0.92945,0.61854,0.94463,0.99908,1.84007,0.001292,0.001292,0.001292
120,318.29,0.49537,0.43087,1.03662,0.87332,0.69062,0.77674,0.43062,1.07412,1.38593,1.95568,0.001286,0.001286,0.001286
121,320.755,0.49243,0.42129,1.06349,0.6335,0.7,0.73555,0.51457,1.17776,1.1618,1.9785,0.00128,0.00128,0.00128
122,323.157,0.46683,0.41531,1.042,0.68312,0.9,0.86229,0.63449,0.76142,0.88974,1.55959,0.001274,0.001274,0.001274
123,325.689,0.42475,0.37171,1.00326,0.82796,1,0.97833,0.84699,0.79796,0.59175,1.7233,0.001268,0.001268,0.001268
124,328.204,0.48243,0.38436,1.0112,0.89877,1,0.995,0.79158,0.84321,0.54574,1.73576,0.001262,0.001262,0.001262
125,331.33,0.48227,0.39896,1.0329,0.99371,1,0.995,0.73682,0.94844,0.56405,1.89008,0.001256,0.001256,0.001256
126,334.228,0.50789,0.39393,1.05995,1,0.99651,0.995,0.69665,1.03845,0.72923,1.91565,0.00125,0.00125,0.00125
127,336.954,0.49155,0.39134,1.0398,0.90881,0.99687,0.97682,0.70041,1.10976,0.79233,1.9507,0.001244,0.001244,0.001244
128,339.499,0.48482,0.38603,1.0494,1,0.99001,0.995,0.67409,1.08965,0.7989,1.89463,0.001238,0.001238,0.001238
129,341.778,0.49494,0.40379,1.03493,0.90905,0.99955,0.94955,0.69628,1.10615,0.82033,1.78516,0.001232,0.001232,0.001232
130,345.456,0.4952,0.40889,1.06525,0.74885,0.9,0.8725,0.60491,1.24587,1.10306,1.98792,0.001226,0.001226,0.001226
131,348.218,0.52109,0.4185,1.08721,0.97596,1,0.995,0.70561,1.12134,0.67972,2.0315,0.00122,0.00122,0.00122
132,350.499,0.49021,0.39456,1.04932,0.99291,1,0.995,0.77111,1.0022,0.52354,1.99023,0.001214,0.001214,0.001214
133,353.141,0.4734,0.39786,1.01766,0.99212,1,0.995,0.79094,0.84051,0.60294,1.67549,0.001208,0.001208,0.001208
134,355.651,0.49398,0.39724,1.04269,1,0.99839,0.995,0.88428,0.58135,0.48751,1.26046,0.001202,0.001202,0.001202
135,359.174,0.45661,0.38534,1.01072,0.97591,1,0.995,0.86989,0.60891,0.63019,1.27979,0.001196,0.001196,0.001196
136,361.778,0.45708,0.39614,1.04736,0.97296,0.9,0.97192,0.86157,0.56651,0.65151,1.14244,0.00119,0.00119,0.00119
137,364.563,0.49383,0.41321,1.05753,0.99104,0.9,0.91674,0.69698,0.88821,0.64625,1.52819,0.001184,0.001184,0.001184
138,367.316,0.45104,0.37041,1.01696,1,0.77315,0.86552,0.6726,0.9686,0.62942,1.66814,0.001178,0.001178,0.001178
139,370.211,0.47358,0.37932,1.02484,0.81361,0.8,0.87338,0.60449,1.11566,0.80347,1.78931,0.001172,0.001172,0.001172
140,373.493,0.48234,0.38741,1.0212,0.88017,0.73724,0.88521,0.69153,0.84077,0.79783,1.53441,0.001166,0.001166,0.001166
141,376.28,0.46985,0.37093,1.03399,0.79896,0.79533,0.85083,0.72191,0.79399,0.74711,1.43933,0.00116,0.00116,0.00116
142,378.919,0.44369,0.36713,1.01912,0.81285,0.9,0.87813,0.73283,0.79698,0.6325,1.45858,0.001154,0.001154,0.001154
